model,parameter,mean_score_R2,std_score_R2
SVR-RBF,0.01,-0.14446568062712511,0.27451088283921654
SVR-RBF,0.1,-0.13846324545394548,0.2721948231066209
SVR-RBF,1.0,-0.08120970060274531,0.25369135052121755
SVR-RBF,10.0,0.23458046987849,0.2114382155880766
SVR-RBF,100.0,0.5219050821639035,0.22725706119945707
SVR-RBF,1000.0,0.5252044900764222,0.23392600379889103
SVR-RBF,10000.0,0.5252044900764222,0.23392600379889103
SVR-RBF,100000.0,0.5252044900764222,0.23392600379889103
SVR-RBF,1000000.0,0.5252044900764222,0.23392600379889103
SVR-RBF,10000000.0,0.5252044900764222,0.23392600379889103
SVR-polynomial,0.01,-0.1447142215043605,0.27455753060224153
SVR-polynomial,0.1,-0.14093290153957197,0.27264914537347246
SVR-polynomial,1.0,-0.10485834684713752,0.25849482518404454
SVR-polynomial,10.0,0.10710379146002393,0.22573486181930363
SVR-polynomial,100.0,0.3414934596827257,0.2556287642857435
SVR-polynomial,1000.0,0.3625788975618825,0.25568305638518796
SVR-polynomial,10000.0,0.20531278084667065,0.4250102706988064
SVR-polynomial,100000.0,0.1425122041204018,0.4896420455917561
SVR-polynomial,1000000.0,0.1425122041204018,0.4896420455917561
SVR-polynomial,10000000.0,0.1425122041204018,0.4896420455917561
SVR-sigmoid,0.01,-0.1437832672819392,0.27419834535375864
SVR-sigmoid,0.1,-0.13177525580217814,0.26914303838601983
SVR-sigmoid,1.0,-0.03458786707353509,0.2389364837430057
SVR-sigmoid,10.0,0.36449517269571663,0.21932386413014537
SVR-sigmoid,100.0,0.2340812604005293,0.4655614298455974
SVR-sigmoid,1000.0,-13.266202892500285,9.615610549876221
SVR-sigmoid,10000.0,-1277.1334157018562,834.8244804828637
SVR-sigmoid,100000.0,-127421.88251525388,82595.06004131073
SVR-sigmoid,1000000.0,-12888323.467124809,8444428.149439748
SVR-sigmoid,10000000.0,-1293562077.2411027,873328178.4788413
Lasso Regression,0.01,0.31947613385612783,0.4270407416679968
Lasso Regression,0.1,0.47251091131402245,0.33187069955029497
Lasso Regression,1.0,0.37780723902323615,0.23624942322730375
Lasso Regression,10.0,-0.1358329898577258,0.2596906271187191
Lasso Regression,100.0,-0.1358329898577258,0.2596906271187191
Lasso Regression,1000.0,-0.1358329898577258,0.2596906271187191
Lasso Regression,10000.0,-0.1358329898577258,0.2596906271187191
Lasso Regression,100000.0,-0.1358329898577258,0.2596906271187191
Lasso Regression,1000000.0,-0.1358329898577258,0.2596906271187191
Lasso Regression,10000000.0,-0.1358329898577258,0.2596906271187191
Ridge Regression,0.01,0.38261815393318316,0.39587248336691594
Ridge Regression,0.1,0.4099839840378013,0.3779486677157248
Ridge Regression,1.0,0.49385250250087553,0.31557584555553175
Ridge Regression,10.0,0.5030169855473858,0.23546264716057314
Ridge Regression,100.0,0.2483577423576314,0.20159295323746357
Ridge Regression,1000.0,-0.058030222998398745,0.2425259672594926
Ridge Regression,10000.0,-0.1271665130609039,0.2576727114189189
Ridge Regression,100000.0,-0.13495636894506505,0.2594853764525381
Ridge Regression,1000000.0,-0.13574522689226437,0.25967006708504964
Ridge Regression,10000000.0,-0.13582421255703495,0.25968857088684444
KNN Regression,1.0,-0.18754144413193985,0.7935618474541242
KNN Regression,2.0,0.21118274096371964,0.4880074452668778
KNN Regression,3.0,0.31092856761466536,0.3935240320741795
KNN Regression,4.0,0.3382074060097396,0.3388177726187588
KNN Regression,5.0,0.3260337693407205,0.3221344227329485
KNN Regression,6.0,0.33835620530710203,0.3021988271815247
KNN Regression,7.0,0.338151642323971,0.27919782752650846
KNN Regression,8.0,0.33725813034995156,0.26139599858709406
KNN Regression,9.0,0.3270183078377069,0.2603613054372299
KNN Regression,10.0,0.31448082894600765,0.260751096445907
