model,parameter,mean_score_R2,std_score_R2
SVR-RBF,10.0,0.23458046987849,0.2114382155880766
SVR-RBF,20.0,0.39743720671338306,0.20549372576958952
SVR-RBF,30.0,0.4597223383128956,0.21389911948267412
SVR-RBF,40.0,0.48818359852183285,0.2194452174968972
SVR-RBF,50.0,0.5088883964644015,0.2221269045336701
SVR-RBF,60.0,0.519788373554837,0.2234535110957494
SVR-RBF,70.0,0.5235724008249748,0.2249647125330388
SVR-RBF,80.0,0.5231564024828643,0.22633844370591505
SVR-RBF,90.0,0.522188389433167,0.22715872951326255
SVR-RBF,100.0,0.5219050821639035,0.22725706119945707
SVR-polynomial,100.0,0.3414934596827257,0.2556287642857435
SVR-polynomial,200.0,0.35149245277555247,0.2625650818039548
SVR-polynomial,300.0,0.3610291349319465,0.25639073950594143
SVR-polynomial,400.0,0.364377153746227,0.2532133573925156
SVR-polynomial,500.0,0.36502130477083267,0.25167271316337625
SVR-polynomial,600.0,0.3666594099237988,0.2502848295870468
SVR-polynomial,700.0,0.36656234038022056,0.250628086266875
SVR-polynomial,800.0,0.36555895163257446,0.25191494535696585
SVR-polynomial,900.0,0.36420075572446087,0.25362699125930344
SVR-polynomial,1000.0,0.3625788975618825,0.25568305638518796
SVR-sigmoid,10.0,0.36449517269571663,0.21932386413014537
SVR-sigmoid,20.0,0.4515396862265261,0.22980555801874838
SVR-sigmoid,30.0,0.46014587083563263,0.2504278926593664
SVR-sigmoid,40.0,0.44753330697759175,0.2751691463980109
SVR-sigmoid,50.0,0.4237742712446028,0.3042626292478259
SVR-sigmoid,60.0,0.39041385848381016,0.3365351322337765
SVR-sigmoid,70.0,0.3523500384844218,0.3700273867133521
SVR-sigmoid,80.0,0.3132674487216325,0.4013677369474053
SVR-sigmoid,90.0,0.27463409373971315,0.43327754142908403
SVR-sigmoid,100.0,0.2340812604005293,0.4655614298455974
Lasso Regression,0.1,0.47251091131402245,0.33187069955029497
Lasso Regression,0.2,0.46470788555227627,0.3130015417696346
Lasso Regression,0.3,0.47337890870235444,0.2911131850255539
Lasso Regression,0.4,0.45979965129305167,0.2733079870248181
Lasso Regression,0.5,0.4419087293089079,0.260947426594199
Lasso Regression,0.6,0.4250594677532428,0.2531368234008573
Lasso Regression,0.7,0.40961592351841636,0.24835759324606138
Lasso Regression,0.8,0.3962380874173233,0.2444262646868708
Lasso Regression,0.9,0.3859234567348144,0.240238352803853
Lasso Regression,1.0,0.37780723902323615,0.23624942322730375
Ridge Regression,1.0,0.49385250250087553,0.31557584555553175
Ridge Regression,2.0,0.5144024328403272,0.29145349388323827
Ridge Regression,3.0,0.5208649637567231,0.27713746178000975
Ridge Regression,4.0,0.5221463641974098,0.26698176224792886
Ridge Regression,5.0,0.5209579383095111,0.2591372956224093
Ridge Regression,6.0,0.518430404845037,0.25277335850046884
Ridge Regression,7.0,0.5151222910252738,0.24744646477339405
Ridge Regression,8.0,0.5113407751346085,0.24289147571360772
Ridge Regression,9.0,0.5072677895103752,0.23893640681781142
Ridge Regression,10.0,0.5030169855473858,0.23546264716057314
KNN Regression,1.0,-0.18754144413193985,0.7935618474541242
KNN Regression,2.0,0.21118274096371964,0.4880074452668778
KNN Regression,3.0,0.31092856761466536,0.3935240320741795
KNN Regression,4.0,0.3382074060097396,0.3388177726187588
KNN Regression,5.0,0.3260337693407205,0.3221344227329485
KNN Regression,6.0,0.33835620530710203,0.3021988271815247
KNN Regression,7.0,0.338151642323971,0.27919782752650846
KNN Regression,8.0,0.33725813034995156,0.26139599858709406
KNN Regression,9.0,0.3270183078377069,0.2603613054372299
KNN Regression,10.0,0.31448082894600765,0.260751096445907
