model,parameter,mean_score_R2,std_score_R2
SVR-RBF,100.0,0.7072064370596302,0.17037555208075233
SVR-RBF,200.0,0.7213436281354761,0.16230238195443825
SVR-RBF,300.0,0.7250841102446759,0.1590283458698251
SVR-RBF,400.0,0.7229980180569004,0.1608369448027365
SVR-RBF,500.0,0.7195255177349507,0.16247930471135988
SVR-RBF,600.0,0.7177700780809004,0.16383693008622388
SVR-RBF,700.0,0.7161367329616399,0.16542668309295258
SVR-RBF,800.0,0.7140510478608527,0.1672415492447457
SVR-RBF,900.0,0.7118925639383679,0.1690083361848648
SVR-RBF,1000.0,0.7096812895183261,0.17078287835408426
SVR-polynomial,100.0,0.6902429824467157,0.16800236979410205
SVR-polynomial,200.0,0.689263601543388,0.1741486386835349
SVR-polynomial,300.0,0.6884989105340014,0.1767498938356413
SVR-polynomial,400.0,0.6859721142022539,0.17953919949396538
SVR-polynomial,500.0,0.682622185323572,0.18185485922582462
SVR-polynomial,600.0,0.6800678584233195,0.1837094449178015
SVR-polynomial,700.0,0.6770070916800959,0.1857372948648771
SVR-polynomial,800.0,0.6732817711987307,0.18807443362398585
SVR-polynomial,900.0,0.6689533276725305,0.19070211644717755
SVR-polynomial,1000.0,0.6641053230050443,0.19356460089486166
SVR-sigmoid,10.0,0.14180418243669216,0.2159570738769703
SVR-sigmoid,20.0,0.30937557716246583,0.2044254930847154
SVR-sigmoid,30.0,0.43001808531253083,0.18928762237303937
SVR-sigmoid,40.0,0.4920790581950536,0.17900624239353433
SVR-sigmoid,50.0,0.5258199434167203,0.18243245947418774
SVR-sigmoid,60.0,0.5581444730078285,0.18490146712965158
SVR-sigmoid,70.0,0.5719976588234931,0.18901215409545322
SVR-sigmoid,80.0,0.5797542893000945,0.19430239390178686
SVR-sigmoid,90.0,0.583956909593918,0.20211167988131054
SVR-sigmoid,100.0,0.5844709502167561,0.21075733307333688
Lasso Regression,0.1,0.6617864425827328,0.2116587602215174
Lasso Regression,0.2,0.6959791990543212,0.17934078679648838
Lasso Regression,0.3,0.7037534872080329,0.17143845217667744
Lasso Regression,0.4,0.7000830507792806,0.17326749628631913
Lasso Regression,0.5,0.6884405610139087,0.17893014770334498
Lasso Regression,0.6,0.6765517462602555,0.18540264832966388
Lasso Regression,0.7,0.6647424039368897,0.19262661929132213
Lasso Regression,0.8,0.6516171392904565,0.20012428776282257
Lasso Regression,0.9,0.636858565357087,0.20812692832849877
Lasso Regression,1.0,0.6205568107377593,0.21676293805382904
Ridge Regression,1.0,0.6618386678257883,0.20795811287251922
Ridge Regression,2.0,0.6908007734348904,0.1846029841096746
Ridge Regression,3.0,0.7028133588662737,0.1744789018353139
Ridge Regression,4.0,0.7090942194210011,0.1690010007136217
Ridge Regression,5.0,0.7126840348021817,0.16570457651495116
Ridge Regression,6.0,0.7147819536508355,0.163593918600164
Ridge Regression,7.0,0.715963868878974,0.16218853139337233
Ridge Regression,8.0,0.7165426050885828,0.1612292882573981
Ridge Regression,9.0,0.7167031992326303,0.1605652600883579
Ridge Regression,10.0,0.7165622141849233,0.16010339255712056
KNN Regression,1.0,0.21712930601953176,0.566060445743832
KNN Regression,2.0,0.47498447203194766,0.38413929292139176
KNN Regression,3.0,0.5673991175251399,0.26344871543314136
KNN Regression,4.0,0.5976076502373553,0.22767083587009315
KNN Regression,5.0,0.6360186266632057,0.19277986115037773
KNN Regression,6.0,0.6475891979629087,0.18370064329355792
KNN Regression,7.0,0.658144547649011,0.17431173050792786
KNN Regression,8.0,0.6587400069564184,0.16824050567307033
KNN Regression,9.0,0.6507007421327731,0.16589006759219435
KNN Regression,10.0,0.6361936014005662,0.16638176850832406
