model,parameter,mean_score_R2,std_score_R2
SVR-RBF,100.0,0.6218890092135949,0.16174201521673645
SVR-RBF,200.0,0.6243840867222286,0.161129943097652
SVR-RBF,300.0,0.6243840867222286,0.161129943097652
SVR-RBF,400.0,0.6243840867222286,0.161129943097652
SVR-RBF,500.0,0.6243840867222286,0.161129943097652
SVR-RBF,600.0,0.6243840867222286,0.161129943097652
SVR-RBF,700.0,0.6243840867222286,0.161129943097652
SVR-RBF,800.0,0.6243840867222286,0.161129943097652
SVR-RBF,900.0,0.6243840867222286,0.161129943097652
SVR-RBF,1000.0,0.6243840867222286,0.161129943097652
SVR-polynomial,100.0,0.46169075439037116,0.23230421413983537
SVR-polynomial,200.0,0.467701283050808,0.2410289091510757
SVR-polynomial,300.0,0.46854660268415027,0.24889134942285865
SVR-polynomial,400.0,0.46694519442591353,0.2532720213428495
SVR-polynomial,500.0,0.4643992465393659,0.2586116517330068
SVR-polynomial,600.0,0.4638708270325474,0.2605222991283059
SVR-polynomial,700.0,0.46420402172794667,0.2605266966157858
SVR-polynomial,800.0,0.46422421887464,0.2604652373166035
SVR-polynomial,900.0,0.46422421922464346,0.26046523738309785
SVR-polynomial,1000.0,0.46422421922464346,0.26046523738309785
SVR-sigmoid,10.0,0.5057274289764236,0.2064669627837102
SVR-sigmoid,20.0,0.6068901799443484,0.1967964942151122
SVR-sigmoid,30.0,0.6175498166838501,0.19024687199552281
SVR-sigmoid,40.0,0.6038352840457495,0.19174027987943607
SVR-sigmoid,50.0,0.5828568876234336,0.1988015555473276
SVR-sigmoid,60.0,0.5644439949266378,0.20591282776172265
SVR-sigmoid,70.0,0.5472905119394821,0.21307442662925358
SVR-sigmoid,80.0,0.5307620174396498,0.22068288646504428
SVR-sigmoid,90.0,0.5145344693543946,0.2305809516927382
SVR-sigmoid,100.0,0.49910817255867085,0.23947601240221425
Lasso Regression,0.1,0.5374758064831127,0.23781088779267626
Lasso Regression,0.2,0.49403415707586185,0.24489803078325276
Lasso Regression,0.3,0.4798942221657319,0.2492745445512511
Lasso Regression,0.4,0.4825479959495874,0.25213357614496174
Lasso Regression,0.5,0.4822341973556169,0.2536626039875981
Lasso Regression,0.6,0.476836958859466,0.25367227444643364
Lasso Regression,0.7,0.46982539515385435,0.2526280219355585
Lasso Regression,0.8,0.46235372826993953,0.25146523112577873
Lasso Regression,0.9,0.453898167920132,0.24968825942577502
Lasso Regression,1.0,0.4448096883831689,0.24708177808926116
Ridge Regression,1.0,0.6668088480549875,0.1684221977976627
Ridge Regression,2.0,0.6661923906076556,0.16759935479076987
Ridge Regression,3.0,0.6629585369742198,0.1677432981536336
Ridge Regression,4.0,0.6584970169892406,0.16824537140677853
Ridge Regression,5.0,0.6533209181526389,0.16890128907109578
Ridge Regression,6.0,0.6477020989610325,0.16961803998351205
Ridge Regression,7.0,0.6418071215024174,0.17034763605795197
Ridge Regression,8.0,0.635745308043638,0.17106407569205703
Ridge Regression,9.0,0.6295912215398243,0.17175323079648647
Ridge Regression,10.0,0.623396953281614,0.17240775511231235
KNN Regression,1.0,0.3361138653407139,0.40601169350724675
KNN Regression,2.0,0.5065257230593224,0.2838032970569692
KNN Regression,3.0,0.5219050654985785,0.26350757214759
KNN Regression,4.0,0.48704874982015006,0.2807967801460842
KNN Regression,5.0,0.47985954940171816,0.28053350811884337
KNN Regression,6.0,0.47293094892870186,0.2817976968180719
KNN Regression,7.0,0.46375777459671436,0.28283876361300647
KNN Regression,8.0,0.46373066843912747,0.28301415662446977
KNN Regression,9.0,0.4523594066669058,0.28427392996450424
KNN Regression,10.0,0.4514366315479139,0.28180584318387736
