model,parameter,mean_score_R2,std_score_R2
SVR-RBF,100.0,0.7917325345029951,0.11351654034768933
SVR-RBF,200.0,0.7824480809690358,0.11773554458043264
SVR-RBF,300.0,0.7734404571119344,0.12257124477983558
SVR-RBF,400.0,0.7713320742920883,0.12357516366408239
SVR-RBF,500.0,0.7714759972258265,0.12356242919578525
SVR-RBF,600.0,0.7717643152956617,0.12351409730469026
SVR-RBF,700.0,0.7717695216461118,0.12351235347457312
SVR-RBF,800.0,0.7717695216461118,0.12351235347457312
SVR-RBF,900.0,0.7717695216461118,0.12351235347457312
SVR-RBF,1000.0,0.7717695216461118,0.12351235347457312
SVR-polynomial,100.0,0.74815756106416,0.14424067675451951
SVR-polynomial,200.0,0.7315126198060953,0.15730353259645521
SVR-polynomial,300.0,0.7198212189728621,0.16308529280463455
SVR-polynomial,400.0,0.7156980165049688,0.16593198418873176
SVR-polynomial,500.0,0.7146708983136142,0.16632616526439725
SVR-polynomial,600.0,0.7147369168176192,0.16632089771636055
SVR-polynomial,700.0,0.7147369168176192,0.16632089771636055
SVR-polynomial,800.0,0.7147369168176192,0.16632089771636055
SVR-polynomial,900.0,0.7147369168176192,0.16632089771636055
SVR-polynomial,1000.0,0.7147369168176192,0.16632089771636055
SVR-sigmoid,10.0,0.43438269280883307,0.16810560979399153
SVR-sigmoid,20.0,0.6736745454251061,0.11304603994982024
SVR-sigmoid,30.0,0.7277186596024768,0.11271581157462687
SVR-sigmoid,40.0,0.7633717894559208,0.1087691853001447
SVR-sigmoid,50.0,0.7724042340285568,0.10707722493691978
SVR-sigmoid,60.0,0.7769634955015224,0.10760426605526605
SVR-sigmoid,70.0,0.7804472178197676,0.10843883254560643
SVR-sigmoid,80.0,0.7826310918383349,0.10895695086593128
SVR-sigmoid,90.0,0.7838993756177551,0.10956292082600048
SVR-sigmoid,100.0,0.7847217470919615,0.11019421793774901
Lasso Regression,0.1,0.7786660790240247,0.12390151901507535
Lasso Regression,0.2,0.7979600258302878,0.11543238509194158
Lasso Regression,0.3,0.7949226525097434,0.11977324944255027
Lasso Regression,0.4,0.783446530045295,0.12754200084229597
Lasso Regression,0.5,0.7697033086335647,0.13408901432784884
Lasso Regression,0.6,0.758014945692643,0.13746270245454636
Lasso Regression,0.7,0.7493171177847009,0.13994376150868554
Lasso Regression,0.8,0.7408111497913719,0.142134634924999
Lasso Regression,0.9,0.7335643815476236,0.14350118086447736
Lasso Regression,1.0,0.7293520080760852,0.14359573472686782
Ridge Regression,1.0,0.7556683164309479,0.1317171519883775
Ridge Regression,2.0,0.7739295577138119,0.12305554124231306
Ridge Regression,3.0,0.7838264377698121,0.11825069160417558
Ridge Regression,4.0,0.7898708301096758,0.11523860552710234
Ridge Regression,5.0,0.7937914689952524,0.11321619074505296
Ridge Regression,6.0,0.7964176926408009,0.11179543408833988
Ridge Regression,7.0,0.7982013185083093,0.11076416943072415
Ridge Regression,8.0,0.7994100213296769,0.10999652790972506
Ridge Regression,9.0,0.8002122304476256,0.10941335631286575
Ridge Regression,10.0,0.8007188859998922,0.10896264458779621
KNN Regression,1.0,0.6334659334668966,0.22152164989071702
KNN Regression,2.0,0.7141716845234505,0.16610425419591116
KNN Regression,3.0,0.7424905936461431,0.14935569287233255
KNN Regression,4.0,0.7549104271672542,0.1396609042333476
KNN Regression,5.0,0.7650576800578996,0.1308561470626957
KNN Regression,6.0,0.7725138533136403,0.12458543524797755
KNN Regression,7.0,0.7768370569109811,0.11969578641441242
KNN Regression,8.0,0.7797510681466608,0.11569998101829809
KNN Regression,9.0,0.7816043577032585,0.11397714232133027
KNN Regression,10.0,0.7817599506302224,0.11227821197130507
