model,parameter,mean_score_R2,std_score_R2
SVR-RBF,10.0,0.4010530216470854,0.10099733575128239
SVR-RBF,20.0,0.5856804931784542,0.09636706415203147
SVR-RBF,30.0,0.6631565503639946,0.09101813040160657
SVR-RBF,40.0,0.6986939322339355,0.08837738311724466
SVR-RBF,50.0,0.7187582366862223,0.08741125494507439
SVR-RBF,60.0,0.7272896568583075,0.0875479792876397
SVR-RBF,70.0,0.7315457421149888,0.08788401092885528
SVR-RBF,80.0,0.7340264314167271,0.08812448736771183
SVR-RBF,90.0,0.7348784397942861,0.08835037264254748
SVR-RBF,100.0,0.7353107690700392,0.08844391150996697
SVR-polynomial,100.0,0.39080970998760156,0.1368255898788457
SVR-polynomial,200.0,0.39071335281161157,0.16195308310882506
SVR-polynomial,300.0,0.39061532266457444,0.16755732514059807
SVR-polynomial,400.0,0.38772173885609146,0.17229215955265623
SVR-polynomial,500.0,0.3856656346971549,0.17430533511251942
SVR-polynomial,600.0,0.3834453175035494,0.17625388000481046
SVR-polynomial,700.0,0.3811522316181212,0.1782291390447042
SVR-polynomial,800.0,0.37878042522750804,0.18023023130471555
SVR-polynomial,900.0,0.37633060264033413,0.18225880232815286
SVR-polynomial,1000.0,0.37380270298044505,0.18431448697076083
SVR-sigmoid,10.0,0.5644755772819808,0.10255906038013865
SVR-sigmoid,20.0,0.6614841871959238,0.11057171248318969
SVR-sigmoid,30.0,0.6846004095721494,0.11892048476988402
SVR-sigmoid,40.0,0.686723646699026,0.12311870733019917
SVR-sigmoid,50.0,0.6774115467549573,0.12806793454605345
SVR-sigmoid,60.0,0.6595635260981749,0.1345541487880549
SVR-sigmoid,70.0,0.6339022993548354,0.1449295397551016
SVR-sigmoid,80.0,0.5990320395616545,0.15972858924933647
SVR-sigmoid,90.0,0.5603970098024148,0.17439911578758713
SVR-sigmoid,100.0,0.5170058485597608,0.19464840846600656
Lasso Regression,0.1,0.5797142244928167,0.16303805814432057
Lasso Regression,0.2,0.5985240818797489,0.15130341156052174
Lasso Regression,0.3,0.5990610796885745,0.1423380612948937
Lasso Regression,0.4,0.5873275009068156,0.13647436045454167
Lasso Regression,0.5,0.5676344109379988,0.13257694491325198
Lasso Regression,0.6,0.5438223218736935,0.13025136617087196
Lasso Regression,0.7,0.5184720691506284,0.12915973960167246
Lasso Regression,0.8,0.49233955040510774,0.12860650436382856
Lasso Regression,0.9,0.4670917284979871,0.1277687144073375
Lasso Regression,1.0,0.44409462248709736,0.12653513971727903
Ridge Regression,1.0,0.6859508397799422,0.12772468141841412
Ridge Regression,2.0,0.7120353404680293,0.11631855984217944
Ridge Regression,3.0,0.7197661337463683,0.11081164707439346
Ridge Regression,4.0,0.7212277593961653,0.10727196478244312
Ridge Regression,5.0,0.7197626740142198,0.10467936575439568
Ridge Regression,6.0,0.7166988898977324,0.10264310080543058
Ridge Regression,7.0,0.7126781487109412,0.1009751037277001
Ridge Regression,8.0,0.7080517518511755,0.09957013473645245
Ridge Regression,9.0,0.7030293926283449,0.0983628289789271
Ridge Regression,10.0,0.6977444111970428,0.0973094673993024
KNN Regression,1.0,0.22328585078692217,0.3602576706960939
KNN Regression,2.0,0.39190885321703106,0.26566570009028656
KNN Regression,3.0,0.35180691238121337,0.25825065064866193
KNN Regression,4.0,0.3387432230889876,0.2519973356410385
KNN Regression,5.0,0.32822110403493304,0.24080801370107607
KNN Regression,6.0,0.32887378409674445,0.22589343252759056
KNN Regression,7.0,0.3293064004294136,0.2208514543573115
KNN Regression,8.0,0.3296713476319926,0.21843813787391453
KNN Regression,9.0,0.31534741060807325,0.22348921899349058
KNN Regression,10.0,0.2931535135414681,0.2306309733320188
