model,parameter,mean_score_R2,std_score_R2
SVR-RBF,10.0,0.6954258817585481,0.0988598874529394
SVR-RBF,20.0,0.7556541222164482,0.09167560839936015
SVR-RBF,30.0,0.7814351212355959,0.08623129295309205
SVR-RBF,40.0,0.8009819312144667,0.08068238331610283
SVR-RBF,50.0,0.8138299644020855,0.07617221207779629
SVR-RBF,60.0,0.822702883799698,0.0724653770531219
SVR-RBF,70.0,0.8290753005865851,0.06948947395158946
SVR-RBF,80.0,0.834121022879279,0.06698058121944479
SVR-RBF,90.0,0.8382646031739869,0.06485945434295688
SVR-RBF,100.0,0.8418524983624426,0.063057539569106
SVR-polynomial,100.0,0.8152110389798414,0.07314450883126908
SVR-polynomial,200.0,0.8166400592725753,0.07360575926757644
SVR-polynomial,300.0,0.8117244952523003,0.0762307011016721
SVR-polynomial,400.0,0.8053867776209856,0.07912164457520592
SVR-polynomial,500.0,0.797597793596129,0.08258553172548373
SVR-polynomial,600.0,0.790670615409759,0.08571885684755304
SVR-polynomial,700.0,0.7860295417382575,0.08789224946938132
SVR-polynomial,800.0,0.7821856713609091,0.08966279435982286
SVR-polynomial,900.0,0.7792726912605381,0.09084597413665625
SVR-polynomial,1000.0,0.7774525123218109,0.09162966433983685
SVR-sigmoid,10.0,0.329567442694906,0.0953203126566008
SVR-sigmoid,20.0,0.4736220916787472,0.11219324553434121
SVR-sigmoid,30.0,0.5270019986108692,0.12250223981015339
SVR-sigmoid,40.0,0.5121039053500788,0.13379761459105843
SVR-sigmoid,50.0,0.48272311519661826,0.1462771668665633
SVR-sigmoid,60.0,0.45080810632385054,0.158544126494846
SVR-sigmoid,70.0,0.42420398986572966,0.17165038387992848
SVR-sigmoid,80.0,0.39523541699216885,0.18620308376033295
SVR-sigmoid,90.0,0.3598201214724685,0.20177477376327047
SVR-sigmoid,100.0,0.3170720073043677,0.21924413996661274
Lasso Regression,0.1,0.8326225527244527,0.06576014051173029
Lasso Regression,0.2,0.8364261077423254,0.06265741015088208
Lasso Regression,0.3,0.833048735830827,0.06517964703282718
Lasso Regression,0.4,0.8187162892616677,0.07241417992844656
Lasso Regression,0.5,0.8005020223747541,0.0808642904764308
Lasso Regression,0.6,0.7827432433157728,0.0886295228958807
Lasso Regression,0.7,0.7671401855045209,0.09544904653129814
Lasso Regression,0.8,0.754322227626798,0.10144603489464035
Lasso Regression,0.9,0.743986478958082,0.10679570933041735
Lasso Regression,1.0,0.7348563603136661,0.11145214981046624
Ridge Regression,1.0,0.817815047895606,0.06545643981517214
Ridge Regression,2.0,0.8390268347532236,0.05937338597070128
Ridge Regression,3.0,0.8469209808403461,0.05725252676817106
Ridge Regression,4.0,0.8502839824565832,0.05643120866340204
Ridge Regression,5.0,0.8515559820934386,0.056204793793108616
Ridge Regression,6.0,0.8517067410684837,0.0562990442240985
Ridge Regression,7.0,0.8512013996048731,0.05658264554392526
Ridge Regression,8.0,0.8502908185468688,0.056984025235588896
Ridge Regression,9.0,0.8491215809599116,0.05746062087674187
Ridge Regression,10.0,0.8477844427729128,0.05798552265035236
KNN Regression,1.0,0.6290355305966046,0.204812702671113
KNN Regression,2.0,0.6995005089132236,0.15101327863615877
KNN Regression,3.0,0.7114504789330098,0.13175483595813184
KNN Regression,4.0,0.7084045614757916,0.12832610537071662
KNN Regression,5.0,0.7057182408291415,0.1307320627717513
KNN Regression,6.0,0.7120605121720489,0.13008656568072008
KNN Regression,7.0,0.7149710198802681,0.1296302098787815
KNN Regression,8.0,0.7129565218115843,0.13036200369799752
KNN Regression,9.0,0.7054703366880141,0.1321367241537555
KNN Regression,10.0,0.6992481451408147,0.13437279940710728
