model,parameter,mean_score_R2,std_score_R2
SVR-RBF,10.0,0.3950038970877869,0.2053568917067189
SVR-RBF,20.0,0.583115000332726,0.186420140000768
SVR-RBF,30.0,0.6591216405430862,0.16246435355496536
SVR-RBF,40.0,0.6931881125169206,0.14376953547199375
SVR-RBF,50.0,0.7114529574861475,0.13191762409897623
SVR-RBF,60.0,0.71998080457815,0.12686399554522318
SVR-RBF,70.0,0.7238446099942818,0.12477667837877109
SVR-RBF,80.0,0.7254205081444144,0.12347794129028579
SVR-RBF,90.0,0.7255730802094505,0.12256928824489811
SVR-RBF,100.0,0.7257850669528316,0.12200386502142417
SVR-polynomial,100.0,0.40005044762713815,0.09681839534039392
SVR-polynomial,200.0,0.4026379470368438,0.09741479247386389
SVR-polynomial,300.0,0.4033248070951808,0.10020961258119457
SVR-polynomial,400.0,0.40092571354221934,0.10143919851136277
SVR-polynomial,500.0,0.3991573041514887,0.10246819902485686
SVR-polynomial,600.0,0.3971590570838026,0.10374415086256705
SVR-polynomial,700.0,0.3950926793663616,0.10506177788415552
SVR-polynomial,800.0,0.39294791442550037,0.10642263109898682
SVR-polynomial,900.0,0.39072857610301504,0.10782389755689618
SVR-polynomial,1000.0,0.3884332898098462,0.10926255689899729
SVR-sigmoid,10.0,0.571435558498935,0.1528903765221342
SVR-sigmoid,20.0,0.6637725809629395,0.1403428883557367
SVR-sigmoid,30.0,0.6855811433358756,0.13545503559452177
SVR-sigmoid,40.0,0.6899630783055584,0.11529084650284206
SVR-sigmoid,50.0,0.6886410290302459,0.11804615953712363
SVR-sigmoid,60.0,0.6882777925090673,0.12832124015776933
SVR-sigmoid,70.0,0.6738324426599821,0.10865728691743214
SVR-sigmoid,80.0,0.6276256314031585,0.11158263943336823
SVR-sigmoid,90.0,0.6070998308746268,0.10447384734887645
SVR-sigmoid,100.0,0.5884233092485665,0.14311653279103614
Lasso Regression,0.1,0.5791321658531602,0.16947637257905995
Lasso Regression,0.2,0.6013955314047393,0.1644938689056087
Lasso Regression,0.3,0.6019235762284902,0.1785949699316058
Lasso Regression,0.4,0.5878716720150442,0.18712866592054986
Lasso Regression,0.5,0.5655541978177563,0.1893982511421644
Lasso Regression,0.6,0.5362110980124767,0.19313685383847412
Lasso Regression,0.7,0.5094834466000125,0.20042680994731701
Lasso Regression,0.8,0.48610464662119773,0.20366522421435926
Lasso Regression,0.9,0.4641588007505784,0.20382581478536957
Lasso Regression,1.0,0.440437073164897,0.2038374367051845
Ridge Regression,1.0,0.6957871759818408,0.10795497879816954
Ridge Regression,2.0,0.7206042240049907,0.09983805903277847
Ridge Regression,3.0,0.7275077527595946,0.097979225878441
Ridge Regression,4.0,0.7284837661475936,0.09796885279664859
Ridge Regression,5.0,0.726764885793618,0.09859866494179881
Ridge Regression,6.0,0.7235932016723148,0.09944774183919299
Ridge Regression,7.0,0.7195530490344954,0.10035142612526125
Ridge Regression,8.0,0.7149589608472564,0.10124164719282412
Ridge Regression,9.0,0.7099972575976132,0.1020905093685754
Ridge Regression,10.0,0.7047864487646056,0.10288760145635582
KNN Regression,1.0,0.27065168058379296,0.276445616380724
KNN Regression,2.0,0.40811128445676914,0.17804915743453928
KNN Regression,3.0,0.3793710686769344,0.17512511041948706
KNN Regression,4.0,0.3742917836171543,0.16207813150951775
KNN Regression,5.0,0.36109838613093836,0.16424364115974388
KNN Regression,6.0,0.37922347554800495,0.15295469594452346
KNN Regression,7.0,0.38695094140308917,0.14158897280124777
KNN Regression,8.0,0.3835548382948459,0.1390050025508187
KNN Regression,9.0,0.34333412214007974,0.151493809007021
KNN Regression,10.0,0.3123711844587592,0.15884414452869106
